compound_code	compound_name	bacteroides_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C02474	Arabinan	4.755	6.629	0.717	125.978	6.498	90.0
C00900	2-Acetolactate	5.687	-2.585	0.116	57.518	-2.744	60.0
C00475	Cytidine	1.0	-1.826	0.564	5.546	-1.645	50.0
C12215	Iminoerythrose_4-phosphate	-6.524	-2.322	0.054	97.028	-2.398	50.0
C12214	Aminofructose_6-phosphate	6.524	2.322	0.356	97.028	5.11	90.0
C00294	Inosine	3.0	1.0	0.333	10.0	1.737	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-3.755	-1.0	0.148	15.501	-1.199	50.0
C05698	Selenohomocysteine	3.0	2.807	0.936	14.998	3.811	80.0
C00354	D-Fructose_1,6-bisphosphate	-2.939	2.273	0.63	12.502	-2.978	60.0
C00352	D-Glucosamine_6-phosphate	4.524	1.848	0.408	26.607	3.442	80.0
C00666	LL-2,6-Diaminoheptanedioate	1.817	-0.737	0.473	5.19	-1.296	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-4.0	0.188	19.0	-1.833	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-2.807	-4.0	0.437	22.998	-3.33	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-2.322	3.907	0.333	20.001	-2.737	60.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	-1.0	3.585	0.167	14.0	-1.222	50.0
C00122	Fumarate	-5.509	-0.766	0.037	47.239	-0.819	60.0
C00123	L-Leucine	1.939	1.737	0.896	7.168	2.683	70.0
C00124	D-Galactose	-7.973	2.907	0.03	258.754	-2.949	60.0
C05749	Hexanoyl-[acp]	5.768	4.17	0.723	72.494	5.712	90.0
C05748	trans-Hex-2-enoyl-[acp]	-3.0	-4.087	0.471	24.995	-3.557	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.615	3.322	0.408	34.505	-3.816	80.0
C05746	3-Oxohexanoyl-[acp]	-4.585	-3.459	0.458	34.997	-4.003	80.0
C05745	Butyryl-[acp]	5.768	4.17	0.723	72.494	5.712	90.0
C05744	Acetoacetyl-[acp]	-6.69	-2.807	0.068	110.248	-2.902	60.0
C03150	Nicotinamide-beta-riboside	3.087	1.0	0.324	10.497	1.766	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-4.219	2.678	0.344	25.023	-3.104	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-4.402	2.954	0.367	28.89	-3.405	70.0
C00199	D-Ribulose_5-phosphate	-4.783	1.659	0.115	30.689	-1.816	50.0
C02659	Acetone_cyanohydrin	-7.14	-4.672	0.181	166.536	-4.912	90.0
C00197	3-Phospho-D-glycerate	5.64	5.743	0.982	103.423	6.666	90.0
C00058	Formate	2.392	-0.807	0.333	6.998	-1.222	50.0
C00011	CO2	6.457	2.322	0.36	92.852	5.061	80.0
C01050	UDP-N-acetylmuramate	3.123	3.496	0.893	19.994	4.159	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.663	-1.0	0.316	8.333	-1.396	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	0.807	-3.322	0.175	11.75	-1.04	60.0
C03539	S-Ribosyl-L-homocysteine	-2.0	-4.17	0.222	22.001	-2.289	50.0
C06010	(S)-2-Acetolactate	4.714	-1.807	0.133	29.745	-1.988	50.0
